YEAR,STATE,STATE_CODE,FUEL_SOURCE,FUEL_CODE,GENERATION_MWH,TOTAL_MWH,PCT_OF_TOTAL,ENERGY_TYPE
2023,Florida,FL,Natural Gas,NG,197190.64604,253105.95261,77.91,Fossil
2024,Florida,FL,Natural Gas,NG,204507.26312,260233.63527,78.59,Fossil
2025,Florida,FL,Natural Gas,NG,195310.84748,261173.42031999998,74.78,Fossil
2001,Florida,FL,Nuclear,NUC,31583.404,143529.299,22.0,Clean
2002,Florida,FL,Nuclear,NUC,33704.23,162991.851,20.68,Clean
2003,Florida,FL,Nuclear,NUC,30979.481,167220.652,18.53,Clean
2004,Florida,FL,Nuclear,NUC,31215.576,172934.31013,18.05,Clean
2005,Florida,FL,Nuclear,NUC,28758.826,175148.72053,16.42,Clean
2006,Florida,FL,Nuclear,NUC,31426.349,193256.17051,16.26,Clean
2007,Florida,FL,Nuclear,NUC,29289.289,197674.19516,14.82,Clean
2008,Florida,FL,Nuclear,NUC,32133.276,200535.94474,16.02,Clean
2009,Florida,FL,Nuclear,NUC,29117.877,201667.72877999998,14.44,Clean
2010,Florida,FL,Nuclear,NUC,23935.92156,212733.59481,11.25,Clean
2011,Florida,FL,Nuclear,NUC,22015.368,210684.16186,10.45,Clean
2012,Florida,FL,Nuclear,NUC,17869.935,212206.14847,8.42,Clean
2013,Florida,FL,Nuclear,NUC,26525.855,212303.56567,12.49,Clean
2014,Florida,FL,Nuclear,NUC,27868.27,220415.77034000002,12.64,Clean
2015,Florida,FL,Nuclear,NUC,28121.916,227323.07763999997,12.37,Clean
2016,Florida,FL,Nuclear,NUC,29320.022,227648.18435999998,12.88,Clean
2017,Florida,FL,Nuclear,NUC,29146.219,228863.19953,12.74,Clean
2018,Florida,FL,Nuclear,NUC,29312.349,234106.88877,12.52,Clean
2019,Florida,FL,Nuclear,NUC,29108.066,236474.58900000004,12.31,Clean
2020,Florida,FL,Nuclear,NUC,29419.352,242178.91947999998,12.15,Clean
2021,Florida,FL,Nuclear,NUC,29514.894,239820.00739999997,12.31,Clean
2022,Florida,FL,Nuclear,NUC,30768.329,251183.16742999997,12.25,Clean
2023,Florida,FL,Nuclear,NUC,29940.194,253105.95261,11.83,Clean
2024,Florida,FL,Nuclear,NUC,29053.59,260233.63527,11.16,Clean
2025,Florida,FL,Nuclear,NUC,30587.612,261173.42031999998,11.71,Clean
2001,Florida,FL,Hydroelectric,HYC,147.718,143529.299,0.1,Clean
2002,Florida,FL,Hydroelectric,HYC,184.114,162991.851,0.11,Clean
2003,Florida,FL,Hydroelectric,HYC,262.667,167220.652,0.16,Clean
2004,Florida,FL,Hydroelectric,HYC,265.258,172934.31013,0.15,Clean
2005,Florida,FL,Hydroelectric,HYC,266.159,175148.72053,0.15,Clean
2006,Florida,FL,Hydroelectric,HYC,203.422,193256.17051,0.11,Clean
2007,Florida,FL,Hydroelectric,HYC,154.446,197674.19516,0.08,Clean
2008,Florida,FL,Hydroelectric,HYC,206.158,200535.94474,0.1,Clean
2009,Florida,FL,Hydroelectric,HYC,208.202,201667.72877999998,0.1,Clean
2010,Florida,FL,Hydroelectric,HYC,177.474,212733.59481,0.08,Clean
2011,Florida,FL,Hydroelectric,HYC,182.042,210684.16186,0.09,Clean
2012,Florida,FL,Hydroelectric,HYC,150.511,212206.14847,0.07,Clean
2013,Florida,FL,Hydroelectric,HYC,254.214,212303.56567,0.12,Clean
2014,Florida,FL,Hydroelectric,HYC,211.388,220415.77034000002,0.1,Clean
2015,Florida,FL,Hydroelectric,HYC,244.294,227323.07763999997,0.11,Clean
2016,Florida,FL,Hydroelectric,HYC,174.551,227648.18435999998,0.08,Clean
2017,Florida,FL,Hydroelectric,HYC,218.299,228863.19953,0.1,Clean
2018,Florida,FL,Hydroelectric,HYC,232.574,234106.88877,0.1,Clean
2019,Florida,FL,Hydroelectric,HYC,209.882,236474.58900000004,0.09,Clean
2020,Florida,FL,Hydroelectric,HYC,231.68,242178.91947999998,0.1,Clean
2021,Florida,FL,Hydroelectric,HYC,251.607,239820.00739999997,0.1,Clean
2022,Florida,FL,Hydroelectric,HYC,230.962,251183.16742999997,0.09,Clean
2023,Florida,FL,Hydroelectric,HYC,224.192,253105.95261,0.09,Clean
2024,Florida,FL,Hydroelectric,HYC,177.238,260233.63527,0.07,Clean
2025,Florida,FL,Hydroelectric,HYC,165.32033,261173.42031999998,0.06,Clean
2009,Florida,FL,Solar,SUN,9.47,201667.72877999998,0.0,Clean
2010,Florida,FL,Solar,SUN,80.44,212733.59481,0.04,Clean
2011,Florida,FL,Solar,SUN,125.726,210684.16186,0.06,Clean
2012,Florida,FL,Solar,SUN,193.61599,212206.14847,0.09,Clean
2013,Florida,FL,Solar,SUN,209.902,212303.56567,0.1,Clean
2014,Florida,FL,Solar,SUN,241.68418,220415.77034000002,0.11,Clean
2015,Florida,FL,Solar,SUN,223.93332,227323.07763999997,0.1,Clean
2016,Florida,FL,Solar,SUN,223.983,227648.18435999998,0.1,Clean
2017,Florida,FL,Solar,SUN,876.42691,228863.19953,0.38,Clean
2018,Florida,FL,Solar,SUN,2412.06288,234106.88877,1.03,Clean
2019,Florida,FL,Solar,SUN,3901.44528,236474.58900000004,1.65,Clean
2020,Florida,FL,Solar,SUN,6509.602,242178.91947999998,2.69,Clean
2021,Florida,FL,Solar,SUN,9048.71543,239820.00739999997,3.77,Clean
2022,Florida,FL,Solar,SUN,11342.16269,251183.16742999997,4.52,Clean
2023,Florida,FL,Solar,SUN,14059.41231,253105.95261,5.55,Clean
2024,Florida,FL,Solar,SUN,18649.15323,260233.63527,7.17,Clean
2025,Florida,FL,Solar,SUN,24924.99019,261173.42031999998,9.54,Clean
2001,Florida,FL,Other,OOG,0.634,143529.299,0.0,Other
2002,Florida,FL,Other,OOG,13.079,162991.851,0.01,Other
2003,Florida,FL,Other,OOG,10.505,167220.652,0.01,Other
2004,Florida,FL,Other,OOG,14.73197,172934.31013,0.01,Other
2005,Florida,FL,Other,OOG,13.23954,175148.72053,0.01,Other
2006,Florida,FL,Other,OOG,16.92358,193256.17051,0.01,Other
2007,Florida,FL,Other,OOG,15.16242,197674.19516,0.01,Other
2008,Florida,FL,Other,OOG,9.97695,200535.94474,0.0,Other
2009,Florida,FL,Other,OOG,6.80009,201667.72877999998,0.0,Other
2010,Florida,FL,Other,OOG,8.07477,212733.59481,0.0,Other
2011,Florida,FL,Other,OOG,6.19121,210684.16186,0.0,Other
2012,Florida,FL,Other,OOG,6.05425,212206.14847,0.0,Other
2013,Florida,FL,Other,OOG,4.67143,212303.56567,0.0,Other
2014,Florida,FL,Other,OOG,6.66944,220415.77034000002,0.0,Other
2015,Florida,FL,Other,OOG,4.77381,227323.07763999997,0.0,Other
2016,Florida,FL,Other,OOG,4.71569,227648.18435999998,0.0,Other
2017,Florida,FL,Other,OOG,4.90426,228863.19953,0.0,Other
2018,Florida,FL,Other,OOG,5.48759,234106.88877,0.0,Other
2019,Florida,FL,Other,OOG,0.15907,236474.58900000004,0.0,Other
2020,Florida,FL,Other,OOG,0.09494,242178.91947999998,0.0,Other
2021,Florida,FL,Other,OOG,0.14132,239820.00739999997,0.0,Other
2022,Florida,FL,Other,OOG,0.12093,251183.16742999997,0.0,Other
2023,Florida,FL,Other,OOG,0.05588,253105.95261,0.0,Other
2024,Florida,FL,Other,OOG,0.07524,260233.63527,0.0,Other
2025,Florida,FL,Other,OOG,0.02289,261173.42031999998,0.0,Other
2001,Georgia,GA,Coal,COL,74560.875,114704.944,65.0,Fossil
2002,Georgia,GA,Coal,COL,78828.124,119540.731,65.94,Fossil
2003,Georgia,GA,Coal,COL,78638.489,120312.399,65.36,Fossil
2004,Georgia,GA,Coal,COL,79942.96277,123512.71591,64.72,Fossil
2005,Georgia,GA,Coal,COL,87182.25876,132519.60522,65.79,Fossil
2006,Georgia,GA,Coal,COL,86503.98627,134039.23159,64.54,Fossil
2007,Georgia,GA,Coal,COL,90297.5292,141157.65956,63.97,Fossil
2008,Georgia,GA,Coal,COL,85491.2576,132755.38243,64.4,Fossil
2009,Georgia,GA,Coal,COL,69478.19606,124926.20724,55.62,Fossil
2010,Georgia,GA,Coal,COL,73298.04152,134016.2338,54.69,Fossil
2011,Georgia,GA,Coal,COL,60159.34027,121714.18308,49.43,Fossil
2012,Georgia,GA,Coal,COL,40715.0493,119434.50491999999,34.09,Fossil
2013,Georgia,GA,Coal,COL,40232.86626,117193.5821,34.33,Fossil
2014,Georgia,GA,Coal,COL,45295.11332,122009.6669,37.12,Fossil
2015,Georgia,GA,Coal,COL,37130.62986,124551.37246,29.81,Fossil
2016,Georgia,GA,Coal,COL,37890.47405,129487.20035,29.26,Fossil
2017,Georgia,GA,Coal,COL,32487.05788,123314.38365,26.34,Fossil
2018,Georgia,GA,Coal,COL,32180.55494,124208.04542000001,25.91,Fossil
2019,Georgia,GA,Coal,COL,25245.30801,123573.47962,20.43,Fossil
2020,Georgia,GA,Coal,COL,13913.93452,114357.36948000001,12.17,Fossil
2021,Georgia,GA,Coal,COL,19076.18441,118230.68293000001,16.13,Fossil
2022,Georgia,GA,Coal,COL,16778.38303,120824.74517,13.89,Fossil
2023,Georgia,GA,Coal,COL,16769.05652,124611.55989,13.46,Fossil
2024,Georgia,GA,Coal,COL,17836.88042,134875.104,13.22,Fossil
2025,Georgia,GA,Coal,COL,20024.88622,142417.40841,14.06,Fossil
2001,Georgia,GA,Natural Gas,NG,3865.873,114704.944,3.37,Fossil
2002,Georgia,GA,Natural Gas,NG,6889.15,119540.731,5.76,Fossil
2003,Georgia,GA,Natural Gas,NG,4276.991,120312.399,3.55,Fossil
2004,Georgia,GA,Natural Gas,NG,6129.65185,123512.71591,4.96,Fossil
2005,Georgia,GA,Natural Gas,NG,9771.03409,132519.60522,7.37,Fossil
2006,Georgia,GA,Natural Gas,NG,12960.59832,134039.23159,9.67,Fossil
2007,Georgia,GA,Natural Gas,NG,16078.94436,141157.65956,11.39,Fossil
2008,Georgia,GA,Natural Gas,NG,13428.4115,132755.38243,10.12,Fossil
2009,Georgia,GA,Natural Gas,NG,20505.74927,124926.20724,16.41,Fossil
2010,Georgia,GA,Natural Gas,NG,23884.45728,134016.2338,17.82,Fossil
2011,Georgia,GA,Natural Gas,NG,26543.60426,121714.18308,21.81,Fossil
2012,Georgia,GA,Natural Gas,NG,42538.60093,119434.50491999999,35.62,Fossil
2013,Georgia,GA,Natural Gas,NG,40329.84735,117193.5821,34.41,Fossil
2014,Georgia,GA,Natural Gas,NG,40960.79792,122009.6669,33.57,Fossil
2015,Georgia,GA,Natural Gas,NG,50469.26568,124551.37246,40.52,Fossil
2016,Georgia,GA,Natural Gas,NG,52862.4643,129487.20035,40.82,Fossil
2017,Georgia,GA,Natural Gas,NG,52722.49977,123314.38365,42.75,Fossil
2018,Georgia,GA,Natural Gas,NG,51972.10992,124208.04542000001,41.84,Fossil
2019,Georgia,GA,Natural Gas,NG,58619.99663,123573.47962,47.44,Fossil
2020,Georgia,GA,Natural Gas,NG,59175.02596,114357.36948000001,51.75,Fossil
2021,Georgia,GA,Natural Gas,NG,56673.11501,118230.68293000001,47.93,Fossil
2022,Georgia,GA,Natural Gas,NG,59848.73114,120824.74517,49.53,Fossil
2023,Georgia,GA,Natural Gas,NG,60043.96237,124611.55989,48.18,Fossil
2024,Georgia,GA,Natural Gas,NG,56936.52558,134875.104,42.21,Fossil
2025,Georgia,GA,Natural Gas,NG,56910.79864,142417.40841,39.96,Fossil
2001,Georgia,GA,Nuclear,NUC,33681.769,114704.944,29.36,Clean
2002,Georgia,GA,Nuclear,NUC,31107.735,119540.731,26.02,Clean
2003,Georgia,GA,Nuclear,NUC,33256.649,120312.399,27.64,Clean
2004,Georgia,GA,Nuclear,NUC,33747.705,123512.71591,27.32,Clean
2005,Georgia,GA,Nuclear,NUC,31534.259,132519.60522,23.8,Clean
2006,Georgia,GA,Nuclear,NUC,32005.81,134039.23159,23.88,Clean
2007,Georgia,GA,Nuclear,NUC,32544.998,141157.65956,23.06,Clean
2008,Georgia,GA,Nuclear,NUC,31691.095,132755.38243,23.87,Clean
2009,Georgia,GA,Nuclear,NUC,31682.579,124926.20724,25.36,Clean
2010,Georgia,GA,Nuclear,NUC,33512.033,134016.2338,25.01,Clean
2011,Georgia,GA,Nuclear,NUC,32306.181,121714.18308,26.54,Clean
2012,Georgia,GA,Nuclear,NUC,33941.634,119434.50491999999,28.42,Clean
2013,Georgia,GA,Nuclear,NUC,32902.781,117193.5821,28.08,Clean
2014,Georgia,GA,Nuclear,NUC,32570.182,122009.6669,26.69,Clean
2015,Georgia,GA,Nuclear,NUC,33838.462,124551.37246,27.17,Clean
2016,Georgia,GA,Nuclear,NUC,34480.662,129487.20035,26.63,Clean
2017,Georgia,GA,Nuclear,NUC,33708.805,123314.38365,27.34,Clean
2018,Georgia,GA,Nuclear,NUC,34362.676,124208.04542000001,27.67,Clean
2019,Georgia,GA,Nuclear,NUC,33591.181,123573.47962,27.18,Clean
2020,Georgia,GA,Nuclear,NUC,32825.697,114357.36948000001,28.7,Clean
2021,Georgia,GA,Nuclear,NUC,33951.976,118230.68293000001,28.72,Clean
2022,Georgia,GA,Nuclear,NUC,34073.591,120824.74517,28.2,Clean
2023,Georgia,GA,Nuclear,NUC,37376.836,124611.55989,29.99,Clean
2024,Georgia,GA,Nuclear,NUC,47975.859,134875.104,35.57,Clean
2025,Georgia,GA,Nuclear,NUC,51224.793,142417.40841,35.97,Clean
2001,Georgia,GA,Hydroelectric,HYC,2596.427,114704.944,2.26,Clean
2002,Georgia,GA,Hydroelectric,HYC,2715.722,119540.731,2.27,Clean
2003,Georgia,GA,Hydroelectric,HYC,4140.27,120312.399,3.44,Clean
2004,Georgia,GA,Hydroelectric,HYC,3692.39629,123512.71591,2.99,Clean
2005,Georgia,GA,Hydroelectric,HYC,4032.05337,132519.60522,3.04,Clean
2006,Georgia,GA,Hydroelectric,HYC,2568.837,134039.23159,1.92,Clean
2007,Georgia,GA,Hydroelectric,HYC,2236.188,141157.65956,1.58,Clean
2008,Georgia,GA,Hydroelectric,HYC,2144.61833,132755.38243,1.62,Clean
2009,Georgia,GA,Hydroelectric,HYC,3259.68291,124926.20724,2.61,Clean
2010,Georgia,GA,Hydroelectric,HYC,3321.702,134016.2338,2.48,Clean
2011,Georgia,GA,Hydroelectric,HYC,2705.05755,121714.18308,2.22,Clean
2012,Georgia,GA,Hydroelectric,HYC,2236.3,119434.50491999999,1.87,Clean
2013,Georgia,GA,Hydroelectric,HYC,3713.59019,117193.5821,3.17,Clean
2014,Georgia,GA,Hydroelectric,HYC,3064.347,122009.6669,2.51,Clean
2015,Georgia,GA,Hydroelectric,HYC,2983.563,124551.37246,2.4,Clean
2016,Georgia,GA,Hydroelectric,HYC,3372.677,129487.20035,2.6,Clean
2017,Georgia,GA,Hydroelectric,HYC,2409.749,123314.38365,1.95,Clean
2018,Georgia,GA,Hydroelectric,HYC,3696.868,124208.04542000001,2.98,Clean
2019,Georgia,GA,Hydroelectric,HYC,3956.22398,123573.47962,3.2,Clean
2020,Georgia,GA,Hydroelectric,HYC,4662.57477,114357.36948000001,4.08,Clean
2021,Georgia,GA,Hydroelectric,HYC,3661.043,118230.68293000001,3.1,Clean
2022,Georgia,GA,Hydroelectric,HYC,3176.979,120824.74517,2.63,Clean
2023,Georgia,GA,Hydroelectric,HYC,2871.919,124611.55989,2.3,Clean
2024,Georgia,GA,Hydroelectric,HYC,2941.17,134875.104,2.18,Clean
2025,Georgia,GA,Hydroelectric,HYC,2989.8878,142417.40841,2.1,Clean
2012,Georgia,GA,Solar,SUN,2.92069,119434.50491999999,0.0,Clean
2013,Georgia,GA,Solar,SUN,14.4973,117193.5821,0.01,Clean
2014,Georgia,GA,Solar,SUN,119.22666,122009.6669,0.1,Clean
2015,Georgia,GA,Solar,SUN,129.45192,124551.37246,0.1,Clean
2016,Georgia,GA,Solar,SUN,880.923,129487.20035,0.68,Clean
2017,Georgia,GA,Solar,SUN,1986.272,123314.38365,1.61,Clean
2018,Georgia,GA,Solar,SUN,1995.83656,124208.04542000001,1.61,Clean
2019,Georgia,GA,Solar,SUN,2160.77,123573.47962,1.75,Clean
2020,Georgia,GA,Solar,SUN,3780.13723,114357.36948000001,3.31,Clean
2021,Georgia,GA,Solar,SUN,4868.36451,118230.68293000001,4.12,Clean
2022,Georgia,GA,Solar,SUN,6947.061,120824.74517,5.75,Clean
2023,Georgia,GA,Solar,SUN,7549.786,124611.55989,6.06,Clean
2024,Georgia,GA,Solar,SUN,9184.669,134875.104,6.81,Clean
2025,Georgia,GA,Solar,SUN,11267.04275,142417.40841,7.91,Clean
2001,Louisiana,LA,Coal,COL,21968.146,80849.796,27.17,Fossil
2002,Louisiana,LA,Coal,COL,22050.906,89646.147,24.6,Fossil
2003,Louisiana,LA,Coal,COL,22888.93,88028.671,26.0,Fossil
2004,Louisiana,LA,Coal,COL,23657.81145,90539.01244,26.13,Fossil
2005,Louisiana,LA,Coal,COL,23087.36477,85639.29528,26.96,Fossil
2006,Louisiana,LA,Coal,COL,24395.20498,85371.87797,28.58,Fossil
2007,Louisiana,LA,Coal,COL,23051.18265,86681.40858,26.59,Fossil
2008,Louisiana,LA,Coal,COL,24100.04221,86980.84687,27.71,Fossil
2009,Louisiana,LA,Coal,COL,23067.13649,86315.8224,26.72,Fossil
2010,Louisiana,LA,Coal,COL,23923.74892,96577.12813,24.77,Fossil
2011,Louisiana,LA,Coal,COL,24627.51946,97901.15947999999,25.16,Fossil
2012,Louisiana,LA,Coal,COL,21421.86882,97572.1018,21.95,Fossil
2013,Louisiana,LA,Coal,COL,20843.71252,93599.12243,22.27,Fossil
2014,Louisiana,LA,Coal,COL,19221.019,95685.52647000001,20.09,Fossil
2015,Louisiana,LA,Coal,COL,15164.95786,100076.30898,15.15,Fossil
2016,Louisiana,LA,Coal,COL,12013.64898,98846.71012,12.15,Fossil
2017,Louisiana,LA,Coal,COL,12315.92531,89778.48729,13.72,Fossil
2018,Louisiana,LA,Coal,COL,11786.72367,94500.4111,12.47,Fossil
2019,Louisiana,LA,Coal,COL,7418.81416,94165.28873999999,7.88,Fossil
2020,Louisiana,LA,Coal,COL,3918.42413,94624.0301,4.14,Fossil
2021,Louisiana,LA,Coal,COL,7872.9514,92129.30243,8.55,Fossil
2022,Louisiana,LA,Coal,COL,8172.86284,99606.36048,8.21,Fossil
2023,Louisiana,LA,Coal,COL,4833.62695,94262.99526000001,5.13,Fossil
2024,Louisiana,LA,Coal,COL,3699.80773,97146.39069,3.81,Fossil
2025,Louisiana,LA,Coal,COL,5531.2055,99461.35700999999,5.56,Fossil
2001,Louisiana,LA,Natural Gas,NG,40372.754,80849.796,49.94,Fossil
2002,Louisiana,LA,Natural Gas,NG,47900.848,89646.147,53.43,Fossil
2003,Louisiana,LA,Natural Gas,NG,45434.198,88028.671,51.61,Fossil
2004,Louisiana,LA,Natural Gas,NG,46169.5377,90539.01244,50.99,Fossil
2005,Louisiana,LA,Natural Gas,NG,44167.90409,85639.29528,51.57,Fossil
2006,Louisiana,LA,Natural Gas,NG,41933.33453,85371.87797,49.12,Fossil
2007,Louisiana,LA,Natural Gas,NG,43915.01498,86681.40858,50.66,Fossil
2008,Louisiana,LA,Natural Gas,NG,45344.38637,86980.84687,52.13,Fossil
2009,Louisiana,LA,Natural Gas,NG,44003.26422,86315.8224,50.98,Fossil
2010,Louisiana,LA,Natural Gas,NG,51344.07865,96577.12813,53.16,Fossil
2011,Louisiana,LA,Natural Gas,NG,54322.46421,97901.15947999999,55.49,Fossil
2012,Louisiana,LA,Natural Gas,NG,58563.7557,97572.1018,60.02,Fossil
2013,Louisiana,LA,Natural Gas,NG,52510.17484,93599.12243,56.1,Fossil
2014,Louisiana,LA,Natural Gas,NG,56120.56438,95685.52647000001,58.65,Fossil
2015,Louisiana,LA,Natural Gas,NG,66210.83199,100076.30898,66.16,Fossil
2016,Louisiana,LA,Natural Gas,NG,66479.14169,98846.71012,67.25,Fossil
2017,Louisiana,LA,Natural Gas,NG,59001.09205,89778.48729,65.72,Fossil
2018,Louisiana,LA,Natural Gas,NG,61781.77399,94500.4111,65.38,Fossil
2019,Louisiana,LA,Natural Gas,NG,69522.95401,94165.28873999999,73.83,Fossil
2020,Louisiana,LA,Natural Gas,NG,70781.54639,94624.0301,74.8,Fossil
2021,Louisiana,LA,Natural Gas,NG,63961.17417,92129.30243,69.43,Fossil
2022,Louisiana,LA,Natural Gas,NG,72275.00713,99606.36048,72.56,Fossil
2023,Louisiana,LA,Natural Gas,NG,74414.45191,94262.99526000001,78.94,Fossil
2024,Louisiana,LA,Natural Gas,NG,75263.34727,97146.39069,77.47,Fossil
2025,Louisiana,LA,Natural Gas,NG,73966.3321,99461.35700999999,74.37,Fossil
2001,Louisiana,LA,Nuclear,NUC,17336.135,80849.796,21.44,Clean
2002,Louisiana,LA,Nuclear,NUC,17305.328,89646.147,19.3,Clean
2003,Louisiana,LA,Nuclear,NUC,16126.322,88028.671,18.32,Clean
2004,Louisiana,LA,Nuclear,NUC,17079.981,90539.01244,18.86,Clean
2005,Louisiana,LA,Nuclear,NUC,15676.353,85639.29528,18.31,Clean
2006,Louisiana,LA,Nuclear,NUC,16735.448,85371.87797,19.6,Clean
2007,Louisiana,LA,Nuclear,NUC,17077.572,86681.40858,19.7,Clean
2008,Louisiana,LA,Nuclear,NUC,15370.988,86980.84687,17.67,Clean
2009,Louisiana,LA,Nuclear,NUC,16782.077,86315.8224,19.44,Clean
2010,Louisiana,LA,Nuclear,NUC,18639.347,96577.12813,19.3,Clean
2011,Louisiana,LA,Nuclear,NUC,16614.975,97901.15947999999,16.97,Clean
2012,Louisiana,LA,Nuclear,NUC,15659.132,97572.1018,16.05,Clean
2013,Louisiana,LA,Nuclear,NUC,16954.394,93599.12243,18.11,Clean
2014,Louisiana,LA,Nuclear,NUC,17311.33,95685.52647000001,18.09,Clean
2015,Louisiana,LA,Nuclear,NUC,15300.736,100076.30898,15.29,Clean
2016,Louisiana,LA,Nuclear,NUC,17151.826,98846.71012,17.35,Clean
2017,Louisiana,LA,Nuclear,NUC,15409.745,89778.48729,17.16,Clean
2018,Louisiana,LA,Nuclear,NUC,17152.582,94500.4111,18.15,Clean
2019,Louisiana,LA,Nuclear,NUC,13981.335,94165.28873999999,14.85,Clean
2020,Louisiana,LA,Nuclear,NUC,16949.587,94624.0301,17.91,Clean
2021,Louisiana,LA,Nuclear,NUC,17248.674,92129.30243,18.72,Clean
2022,Louisiana,LA,Nuclear,NUC,16164.721,99606.36048,16.23,Clean
2023,Louisiana,LA,Nuclear,NUC,12211.457,94262.99526000001,12.95,Clean
2024,Louisiana,LA,Nuclear,NUC,14651.585,97146.39069,15.08,Clean
2025,Louisiana,LA,Nuclear,NUC,15254.572,99461.35700999999,15.34,Clean
2001,Louisiana,LA,Hydroelectric,HYC,732.217,80849.796,0.91,Clean
2002,Louisiana,LA,Hydroelectric,HYC,891.441,89646.147,0.99,Clean
2003,Louisiana,LA,Hydroelectric,HYC,891.991,88028.671,1.01,Clean
2004,Louisiana,LA,Hydroelectric,HYC,1098.825,90539.01244,1.21,Clean
2005,Louisiana,LA,Hydroelectric,HYC,810.948,85639.29528,0.95,Clean
2006,Louisiana,LA,Hydroelectric,HYC,713.215,85371.87797,0.84,Clean
2007,Louisiana,LA,Hydroelectric,HYC,826.642,86681.40858,0.95,Clean
2008,Louisiana,LA,Hydroelectric,HYC,1064.373,86980.84687,1.22,Clean
2009,Louisiana,LA,Hydroelectric,HYC,1236.351,86315.8224,1.43,Clean
2010,Louisiana,LA,Hydroelectric,HYC,1108.794,96577.12813,1.15,Clean
